jns_karantina;komoditas;satuan;harga;Komsat
T;Buah Tempayan;gram;1.111;Buah Tempayan/gram
T;BUAH-BUAHAN;gram;1.111;BUAH-BUAHAN/gram
T;BUBUK CABE;bag;1.111;BUBUK CABE/bag
T;BUBUK CABE;carton;1.111;BUBUK CABE/carton
T;BUBUK CABE;gram;1.111;BUBUK CABE/gram
T;BUBUK CABE;kilogram of phosphorus pentoxide (phosphoric anhydride);1.111;BUBUK CABE/kilogram of phosphorus pentoxide (phosphoric anhydride)
T;BUBUK CABE;kilogram per second;1.111;BUBUK CABE/kilogram per second
T;BUBUK CABE;ton;1.111;BUBUK CABE/ton
T;BUBUK GANDUM;bag;1.111;BUBUK GANDUM/bag
T;BUBUK GANDUM;kilogram;1.111;BUBUK GANDUM/kilogram
T;BUBUK GANDUM;ton;1.111;BUBUK GANDUM/ton
T;BUBUK JAGUNG;bag;1.111;BUBUK JAGUNG/bag
T;BUBUK JAGUNG;carton;1.111;BUBUK JAGUNG/carton
T;BUBUK JAGUNG;gram;1.111;BUBUK JAGUNG/gram
T;BUBUK JAGUNG;kemasan;1.111;BUBUK JAGUNG/kemasan
T;BUBUK JAGUNG;ton;1.111;BUBUK JAGUNG/ton
T;BUBUK JAHE;bag;1.111;BUBUK JAHE/bag
T;BUBUK JAHE;carton;1.111;BUBUK JAHE/carton
T;BUBUK JAHE;gram;1.111;BUBUK JAHE/gram
T;BUBUK JAHE;kilogram per second;1.111;BUBUK JAHE/kilogram per second
T;BUBUK JAHE;ton;1.111;BUBUK JAHE/ton
T;BUBUK KUNYIT;gram;1.111;BUBUK KUNYIT/gram
T;BUBUK KUNYIT;ton;1.111;BUBUK KUNYIT/ton
T;BUBUK LAOS;gram;1.111;BUBUK LAOS/gram
T;BUBUK MOSTER;kilogram;1.111;BUBUK MOSTER/kilogram
T;BUBUK REMPAH;bag;1.111;BUBUK REMPAH/bag
T;BUBUK REMPAH;carton;1.111;BUBUK REMPAH/carton
T;BUBUK REMPAH;drum;1.111;BUBUK REMPAH/drum
T;BUBUK REMPAH;kemasan;1.111;BUBUK REMPAH/kemasan
T;BUBUK SAYURAN;bag;1.111;BUBUK SAYURAN/bag
T;BUBUK SAYURAN;carton;1.111;BUBUK SAYURAN/carton
T;BUMBU MACAM-MACAM;gram;1.111;BUMBU MACAM-MACAM/gram
T;BUMBU MACAM-MACAM;kemasan;1.111;BUMBU MACAM-MACAM/kemasan
T;BUMBU MACAM-MACAM;ton;1.111;BUMBU MACAM-MACAM/ton
T;BUMBU PECEL;kilogram;1.111;BUMBU PECEL/kilogram
T;BUNGA ALIUM;buah/butir/batang;1.111;BUNGA ALIUM/buah/butir/batang
T;BUNGA ALSTROEMERIA;buah/butir/batang;1.111;BUNGA ALSTROEMERIA/buah/butir/batang
T;BUNGA AMMI MAJUS;buah/butir/batang;1.111;BUNGA AMMI MAJUS/buah/butir/batang
T;BUNGA AMMI MAJUS;kilogram;1.111;BUNGA AMMI MAJUS/kilogram
T;BUNGA ANGGREK MUKARA;buah/butir/batang;1.111;BUNGA ANGGREK MUKARA/buah/butir/batang
T;BUNGA ANGGREK VANDA;kilogram;1.111;BUNGA ANGGREK VANDA/kilogram
T;BUNGA ANIGOZANTHOS;buah/butir/batang;1.111;BUNGA ANIGOZANTHOS/buah/butir/batang
T;BUNGA ANYELIR;kilogram;1.111;BUNGA ANYELIR/kilogram
T;BUNGA ASPARAGUS;buah/butir/batang;1.111;BUNGA ASPARAGUS/buah/butir/batang
T;BUNGA ASPARAGUS;kilogram;1.111;BUNGA ASPARAGUS/kilogram
T;BUNGA ASPIDISTRA;buah/butir/batang;1.111;BUNGA ASPIDISTRA/buah/butir/batang
T;BUNGA ASTER;bag;1.111;BUNGA ASTER/bag
T;BUNGA ASTILBE;buah/butir/batang;1.111;BUNGA ASTILBE/buah/butir/batang
T;BUNGA ASTILBE;kilogram;1.111;BUNGA ASTILBE/kilogram
T;BUNGA ASTRANTIA;buah/butir/batang;1.111;BUNGA ASTRANTIA/buah/butir/batang
T;BUNGA BANKSIA;buah/butir/batang;1.111;BUNGA BANKSIA/buah/butir/batang
T;BUNGA BERZELIA;buah/butir/batang;1.111;BUNGA BERZELIA/buah/butir/batang
T;BUNGA BLUE HEAVEN;buah/butir/batang;1.111;BUNGA BLUE HEAVEN/buah/butir/batang
T;BUNGA BOUVARDIA;buah/butir/batang;1.111;BUNGA BOUVARDIA/buah/butir/batang
T;BUNGA BRASSICA;buah/butir/batang;1.111;BUNGA BRASSICA/buah/butir/batang
T;BUNGA BRUNIA;buah/butir/batang;1.111;BUNGA BRUNIA/buah/butir/batang
T;BUNGA CALLA LILY;kilogram;1.111;BUNGA CALLA LILY/kilogram
T;BUNGA CAMPANULA;buah/butir/batang;1.111;BUNGA CAMPANULA/buah/butir/batang
T;BUNGA CAMPANULA;kilogram;1.111;BUNGA CAMPANULA/kilogram
T;BUNGA CARTHAMUS;kilogram;1.111;BUNGA CARTHAMUS/kilogram
T;BUNGA CASPEA;kilogram;1.111;BUNGA CASPEA/kilogram
T;BUNGA CELOSIA;buah/butir/batang;1.111;BUNGA CELOSIA/buah/butir/batang
T;BUNGA CELOSIA;kilogram;1.111;BUNGA CELOSIA/kilogram
T;BUNGA CHAMELAUCIUM;buah/butir/batang;1.111;BUNGA CHAMELAUCIUM/buah/butir/batang
T;BUNGA COCOR BEBEK;buah/butir/batang;1.111;BUNGA COCOR BEBEK/buah/butir/batang
T;BUNGA COCOR BEBEK;kilogram;1.111;BUNGA COCOR BEBEK/kilogram
T;BUNGA CONVALLARIA;buah/butir/batang;1.111;BUNGA CONVALLARIA/buah/butir/batang
T;BUNGA CORYLUS;buah/butir/batang;1.111;BUNGA CORYLUS/buah/butir/batang
T;BUNGA COTINUS;buah/butir/batang;1.111;BUNGA COTINUS/buah/butir/batang
T;BUNGA CRASPEDIA;buah/butir/batang;1.111;BUNGA CRASPEDIA/buah/butir/batang
T;BUNGA DELPHINIUM;buah/butir/batang;1.111;BUNGA DELPHINIUM/buah/butir/batang
T;BUNGA EMU GRASS;kilogram;1.111;BUNGA EMU GRASS/kilogram
T;BUNGA ERICA;buah/butir/batang;1.111;BUNGA ERICA/buah/butir/batang
T;BUNGA ERYNGIUM;buah/butir/batang;1.111;BUNGA ERYNGIUM/buah/butir/batang
T;BUNGA EUCALYPTUS;gram;1.111;BUNGA EUCALYPTUS/gram
T;BUNGA EUPHORBIA;buah/butir/batang;1.111;BUNGA EUPHORBIA/buah/butir/batang
T;BUNGA EUSTOMA;kilogram;1.111;BUNGA EUSTOMA/kilogram
T;BUNGA FORSYTHIA;buah/butir/batang;1.111;BUNGA FORSYTHIA/buah/butir/batang
T;BUNGA FREESIA;buah/butir/batang;1.111;BUNGA FREESIA/buah/butir/batang
T;BUNGA GALAX;buah/butir/batang;1.111;BUNGA GALAX/buah/butir/batang
T;BUNGA GERBERA;kilogram;1.111;BUNGA GERBERA/kilogram
T;BUNGA GLADIOL;buah/butir/batang;1.111;BUNGA GLADIOL/buah/butir/batang
T;BUNGA GLADIOL;kilogram;1.111;BUNGA GLADIOL/kilogram
T;BUNGA GYPSOPHILLA;kilogram;1.111;BUNGA GYPSOPHILLA/kilogram
T;BUNGA GYPSOPHILLA;peti kemas;1.111;BUNGA GYPSOPHILLA/peti kemas
T;BUNGA HELICONIA;buah/butir/batang;1.111;BUNGA HELICONIA/buah/butir/batang
T;BUNGA HIBISCUS KERING;ton;1.111;BUNGA HIBISCUS KERING/ton
T;BUNGA HIPPEASTRUM;buah/butir/batang;1.111;BUNGA HIPPEASTRUM/buah/butir/batang
T;BUNGA HOOKERIANA;kilogram;1.111;BUNGA HOOKERIANA/kilogram
T;BUNGA HYACIN;buah/butir/batang;1.111;BUNGA HYACIN/buah/butir/batang
T;BUNGA HYPERICUM;buah/butir/batang;1.111;BUNGA HYPERICUM/buah/butir/batang
T;BUNGA HYPERICUM;kilogram;1.111;BUNGA HYPERICUM/kilogram
T;BUNGA ILEX;buah/butir/batang;1.111;BUNGA ILEX/buah/butir/batang
T;BUNGA INDOWAX;buah/butir/batang;1.111;BUNGA INDOWAX/buah/butir/batang
T;BUNGA IRIS;buah/butir/batang;1.111;BUNGA IRIS/buah/butir/batang
T;BUNGA JANTAN KELAPA SAWIT;botol;1.111;BUNGA JANTAN KELAPA SAWIT/botol
T;BUNGA JANTAN KELAPA SAWIT;box;1.111;BUNGA JANTAN KELAPA SAWIT/box
T;BUNGA JANTAN KELAPA SAWIT;kilogram;1.111;BUNGA JANTAN KELAPA SAWIT/kilogram
T;BUNGA KERING;buah/butir/batang;1.111;BUNGA KERING/buah/butir/batang
T;BUNGA KERING;gram;1.111;BUNGA KERING/gram
T;BUNGA KOCHIA;buah/butir/batang;1.111;BUNGA KOCHIA/buah/butir/batang
T;BUNGA KOCHIA;kilogram;1.111;BUNGA KOCHIA/kilogram
T;BUNGA KRISAN;box;1.111;BUNGA KRISAN/box
T;BUNGA KRISAN;kilogram;1.111;BUNGA KRISAN/kilogram
T;BUNGA KRISAN;kilogram per second;1.111;BUNGA KRISAN/kilogram per second
T;BUNGA LAVENDER;buah/butir/batang;1.111;BUNGA LAVENDER/buah/butir/batang
T;BUNGA LAVENDER;kilogram;1.111;BUNGA LAVENDER/kilogram
T;BUNGA LAVENDULA;buah/butir/batang;1.111;BUNGA LAVENDULA/buah/butir/batang
T;BUNGA LAWANG;gram;1.111;BUNGA LAWANG/gram
T;BUNGA LAWANG;ton;1.111;BUNGA LAWANG/ton
T;BUNGA LEUCADENDRON;buah/butir/batang;1.111;BUNGA LEUCADENDRON/buah/butir/batang
T;BUNGA LEUCOSPERMUM;buah/butir/batang;1.111;BUNGA LEUCOSPERMUM/buah/butir/batang
T;BUNGA LEUCOSPERMUM;kilogram;1.111;BUNGA LEUCOSPERMUM/kilogram
T;BUNGA LIATRIS;buah/butir/batang;1.111;BUNGA LIATRIS/buah/butir/batang
T;BUNGA LILI;kilogram;1.111;BUNGA LILI/kilogram
T;BUNGA LIMONIUM;kilogram;1.111;BUNGA LIMONIUM/kilogram
T;BUNGA MATAHARI;ton;1.111;BUNGA MATAHARI/ton
T;BUNGA MATTHIOLA;kilogram;1.111;BUNGA MATTHIOLA/kilogram
T;BUNGA MAWAR;carton;1.111;BUNGA MAWAR/carton
T;BUNGA NARCISSUS;buah/butir/batang;1.111;BUNGA NARCISSUS/buah/butir/batang
T;BUNGA NERINE;buah/butir/batang;1.111;BUNGA NERINE/buah/butir/batang
T;BUNGA NIGELLA;buah/butir/batang;1.111;BUNGA NIGELLA/buah/butir/batang
T;BUNGA NOLINA;buah/butir/batang;1.111;BUNGA NOLINA/buah/butir/batang
T;BUNGA ONCHIDIUM;buah/butir/batang;1.111;BUNGA ONCHIDIUM/buah/butir/batang
T;BUNGA ORNITHOGALUM;buah/butir/batang;1.111;BUNGA ORNITHOGALUM/buah/butir/batang
T;BUNGA OZOTHAMNUS;buah/butir/batang;1.111;BUNGA OZOTHAMNUS/buah/butir/batang
T;BUNGA PADI;buah/butir/batang;1.111;BUNGA PADI/buah/butir/batang
T;BUNGA PADI;kilogram;1.111;BUNGA PADI/kilogram
T;BUNGA PALA;gram;1.111;BUNGA PALA/gram
T;BUNGA PAPHIOPEDILUM;buah/butir/batang;1.111;BUNGA PAPHIOPEDILUM/buah/butir/batang
T;BUNGA PINUS;buah/butir/batang;1.111;BUNGA PINUS/buah/butir/batang
T;BUNGA PINUS;gram;1.111;BUNGA PINUS/gram
T;BUNGA PINUS;kemasan;1.111;BUNGA PINUS/kemasan
T;BUNGA POTONG KERING;box;1.111;BUNGA POTONG KERING/box
T;BUNGA POTONG KERING;buah/butir/batang;1.111;BUNGA POTONG KERING/buah/butir/batang
T;BUNGA PROTEA;buah/butir/batang;1.111;BUNGA PROTEA/buah/butir/batang
T;BUNGA PRUNUS;buah/butir/batang;1.111;BUNGA PRUNUS/buah/butir/batang
T;BUNGA PTILOTUS;buah/butir/batang;1.111;BUNGA PTILOTUS/buah/butir/batang
T;BUNGA PTILOTUS;kilogram;1.111;BUNGA PTILOTUS/kilogram
T;BUNGA PYCNOSORUS;kilogram;1.111;BUNGA PYCNOSORUS/kilogram
T;BUNGA RANUNCULUS;buah/butir/batang;1.111;BUNGA RANUNCULUS/buah/butir/batang
T;BUNGA RANUNCULUS;kilogram;1.111;BUNGA RANUNCULUS/kilogram
T;BUNGA ROSMARINUS OFFICINALIS;ton;1.111;BUNGA ROSMARINUS OFFICINALIS/ton
T;BUNGA SALIX/PUSSY WILLOW;buah/butir/batang;1.111;BUNGA SALIX/PUSSY WILLOW/buah/butir/batang
T;BUNGA SALIX/PUSSY WILLOW;kilogram;1.111;BUNGA SALIX/PUSSY WILLOW/kilogram
T;BUNGA SALJU;buah/butir/batang;1.111;BUNGA SALJU/buah/butir/batang
T;BUNGA SALJU;kilogram;1.111;BUNGA SALJU/kilogram
T;BUNGA SCABIOSA;buah/butir/batang;1.111;BUNGA SCABIOSA/buah/butir/batang
T;BUNGA SCABIOSA;kilogram;1.111;BUNGA SCABIOSA/kilogram
T;BUNGA SNOWBALLS;kilogram;1.111;BUNGA SNOWBALLS/kilogram
T;BUNGA SPRAY STATICE;buah/butir/batang;1.111;BUNGA SPRAY STATICE/buah/butir/batang
T;BUNGA STATICE;buah/butir/batang;1.111;BUNGA STATICE/buah/butir/batang
T;BUNGA STATICE;kilogram;1.111;BUNGA STATICE/kilogram
T;BUNGA STEEL GRASS;buah/butir/batang;1.111;BUNGA STEEL GRASS/buah/butir/batang
T;BUNGA SYMPHORICARPOS;buah/butir/batang;1.111;BUNGA SYMPHORICARPOS/buah/butir/batang
T;BUNGA SYRINGA;buah/butir/batang;1.111;BUNGA SYRINGA/buah/butir/batang
T;BUNGA TAPAK DARA;buah/butir/batang;1.111;BUNGA TAPAK DARA/buah/butir/batang
T;BUNGA TAPAK DARA;gram;1.111;BUNGA TAPAK DARA/gram
T;BUNGA TITREE;kilogram;1.111;BUNGA TITREE/kilogram
T;BUNGA TRACHELIUM;buah/butir/batang;1.111;BUNGA TRACHELIUM/buah/butir/batang
T;BUNGA TULIP;kilogram;1.111;BUNGA TULIP/kilogram
T;BUNGA VERONICA;buah/butir/batang;1.111;BUNGA VERONICA/buah/butir/batang
T;BUNGA VERONICA;kilogram;1.111;BUNGA VERONICA/kilogram
T;BUNGA VERTICORDIA;kilogram;1.111;BUNGA VERTICORDIA/kilogram
T;BUNGA VIBURNUM;buah/butir/batang;1.111;BUNGA VIBURNUM/buah/butir/batang
T;BUNGA WAXFLOWER;buah/butir/batang;1.111;BUNGA WAXFLOWER/buah/butir/batang
T;BUNGA WHEAT;kilogram;1.111;BUNGA WHEAT/kilogram
T;BUNGA XANTHORRHOEA;buah/butir/batang;1.111;BUNGA XANTHORRHOEA/buah/butir/batang
T;BUNGA XAVIER GRASS;buah/butir/batang;1.111;BUNGA XAVIER GRASS/buah/butir/batang
T;BUNGA XEROPHYLLUM;buah/butir/batang;1.111;BUNGA XEROPHYLLUM/buah/butir/batang
T;BUNGKIL BIJI KUBIS;kilogram;1.111;BUNGKIL BIJI KUBIS/kilogram
T;BUNGKIL BIJI KUBIS;ton;1.111;BUNGKIL BIJI KUBIS/ton
T;BUNGKIL BIJI TEH;bag;1.111;BUNGKIL BIJI TEH/bag
T;BUNGKIL JAGUNG;bag;1.111;BUNGKIL JAGUNG/bag
T;BUNGKIL JAGUNG;bulk;1.111;BUNGKIL JAGUNG/bulk
T;BUNGKIL JAGUNG;gram;1.111;BUNGKIL JAGUNG/gram
T;BUNGKIL JAGUNG;kilogram of phosphorus pentoxide (phosphoric anhydride);1.111;BUNGKIL JAGUNG/kilogram of phosphorus pentoxide (phosphoric anhydride)
T;BUNGKIL JAGUNG;pound;1.111;BUNGKIL JAGUNG/pound
T;BUNGKIL JAGUNG;ton;1.111;BUNGKIL JAGUNG/ton
T;BUNGKIL KACANG TANAH;bag;1.111;BUNGKIL KACANG TANAH/bag
T;BUNGKIL KACANG TANAH;ton;1.111;BUNGKIL KACANG TANAH/ton
T;BUNGKIL KEDELAI;bag;1.111;BUNGKIL KEDELAI/bag
T;BUNGKIL KEDELAI;kilogram per second;1.111;BUNGKIL KEDELAI/kilogram per second
T;BUNGKIL KEDELAI;ton;1.111;BUNGKIL KEDELAI/ton
T;BUNGKIL KELAPA;ton;1.111;BUNGKIL KELAPA/ton
T;BUNGKIL TEAH;bag;1.111;BUNGKIL TEAH/bag
T;BUNGKIL TEAH;carton;1.111;BUNGKIL TEAH/carton
T;BUNGKIL TEAH;ton;1.111;BUNGKIL TEAH/ton
T;CABE;bag;1.111;CABE/bag
T;CABE;carton;1.111;CABE/carton
T;CABE;meter kubik;1.111;CABE/meter kubik
T;CABE;ton;1.111;CABE/ton
T;CABE GILING;bag;1.111;CABE GILING/bag
T;CABE GILING;gram;1.111;CABE GILING/gram
T;CABE GILING;kilogram per second;1.111;CABE GILING/kilogram per second
T;CABE GILING;ton;1.111;CABE GILING/ton
T;CABE JAMU;gram;1.111;CABE JAMU/gram
T;CABE KERING;bag;1.111;CABE KERING/bag
T;CABE KERING;carton;1.111;CABE KERING/carton
T;CABE KERING;gram;1.111;CABE KERING/gram
T;CABE KERING;kilogram of phosphorus pentoxide (phosphoric anhydride);1.111;CABE KERING/kilogram of phosphorus pentoxide (phosphoric anhydride)
T;CABE KERING;kilogram per second;1.111;CABE KERING/kilogram per second
T;CABE KERING;ton;1.111;CABE KERING/ton
T;CABE KERITING;bag;1.111;CABE KERITING/bag
T;CABE MERAH;ton;1.111;CABE MERAH/ton
T;Calathea Mawar;kemasan;1.111;Calathea Mawar/kemasan
T;Calathea Mawar;kilogram;1.111;Calathea Mawar/kilogram
T;CASPEA;buah/butir/batang;1.111;CASPEA/buah/butir/batang
T;CELERY;bag;1.111;CELERY/bag
T;CELERY;carton;1.111;CELERY/carton
T;CELERY;kilogram per second;1.111;CELERY/kilogram per second
T;CELERY;ton;1.111;CELERY/ton
T;CEMPEDAK;gram;1.111;CEMPEDAK/gram
T;CENDANA;bag;1.111;CENDANA/bag
T;CENDANA;gram;1.111;CENDANA/gram
T;CENDANA;ton;1.111;CENDANA/ton
T;CENGKEH;bag;1.111;CENGKEH/bag
T;CENGKEH;gram;1.111;CENGKEH/gram
T;CHICORY;kemasan;1.111;CHICORY/kemasan
T;CHIVES KERING;bag;1.111;CHIVES KERING/bag
T;CHIVES KERING;box;1.111;CHIVES KERING/box
T;CHIVES KERING;kemasan;1.111;CHIVES KERING/kemasan
T;CHIVES KERING;kilogram;1.111;CHIVES KERING/kilogram
T;CURRANT HITAM;kilogram;1.111;CURRANT HITAM/kilogram
T;DALL;bag;1.111;DALL/bag
T;DALL;kilogram;1.111;DALL/kilogram
T;DAMAR;ton;1.111;DAMAR/ton
T;DAMAR BATU;gram;1.111;DAMAR BATU/gram
T;DAMAR BATU;ton;1.111;DAMAR BATU/ton
T;DAUN ASPIDISTRA;buah/butir/batang;1.111;DAUN ASPIDISTRA/buah/butir/batang
T;DAUN BASIL;ton;1.111;DAUN BASIL/ton
T;DAUN KARI;carton;1.111;DAUN KARI/carton
T;DAUN KARI;ton;1.111;DAUN KARI/ton
T;DAUN KERING;box;1.111;DAUN KERING/box
T;DAUN KERING;gram;1.111;DAUN KERING/gram
T;DAUN KERING KOPI;gram;1.111;DAUN KERING KOPI/gram
T;DAUN KETAPANG;gram;1.111;DAUN KETAPANG/gram
T;DAUN LIMAU;gram;1.111;DAUN LIMAU/gram
T;DAUN MINT;box;1.111;DAUN MINT/box
T;DAUN MINT;ton;1.111;DAUN MINT/ton
T;DAUN NILAM;gram;1.111;DAUN NILAM/gram
T;DAUN NILAM;milligram;1.111;DAUN NILAM/milligram
T;Daun PERILLA;kilogram;1.111;Daun PERILLA/kilogram
T;DAUN SALAM;gram;1.111;DAUN SALAM/gram
T;DAUN SALAM;ton;1.111;DAUN SALAM/ton
T;DAUN SAWIT;box;1.111;DAUN SAWIT/box
T;DAUN SEGAR;gram;1.111;DAUN SEGAR/gram
T;DAUN SENA;gram;1.111;DAUN SENA/gram
T;DAUN SENA;ton;1.111;DAUN SENA/ton
T;DAUN SINGKONG;buah/butir/batang;1.111;DAUN SINGKONG/buah/butir/batang
T;DAUN SIRSAK KERING;gram;1.111;DAUN SIRSAK KERING/gram
T;DAUN TEBU;gram;1.111;DAUN TEBU/gram
T;DEDAK GANDUM;bag;1.111;DEDAK GANDUM/bag
T;DEDAK GANDUM;ton;1.111;DEDAK GANDUM/ton
T;DEDAK GANDUM (Pellet);ton;1.111;DEDAK GANDUM (Pellet)/ton
T;DELIMA;box;1.111;DELIMA/box
T;DELIMA;ton;1.111;DELIMA/ton
T;ECHINODORUS;kilogram;1.111;ECHINODORUS/kilogram
T;ERCIS;bag;1.111;ERCIS/bag
T;ERCIS;kilogram;1.111;ERCIS/kilogram
T;EUCALYPTUS SAWN TIMBER;buah/butir/batang;1.111;EUCALYPTUS SAWN TIMBER/buah/butir/batang
T;EUCALYPTUS SAWN TIMBER;ton;1.111;EUCALYPTUS SAWN TIMBER/ton
T;FULLY;gram;1.111;FULLY/gram
T;GAHARU;kemasan;1.111;GAHARU/kemasan
T;GAMBIR;box;1.111;GAMBIR/box
T;GAMBUT;ton;1.111;GAMBUT/ton
T;GANDUM BIJI;bulk;1.111;GANDUM BIJI/bulk
T;GANDUM BIJI;kemasan;1.111;GANDUM BIJI/kemasan
T;GANDUM BIJI;kilogram;1.111;GANDUM BIJI/kilogram
T;GANDUM BIJI;ton;1.111;GANDUM BIJI/ton
T;GANDUM BIJI (Pakan);bulk;1.111;GANDUM BIJI (Pakan)/bulk
T;GANDUM BIJI (Pakan);kilogram;1.111;GANDUM BIJI (Pakan)/kilogram
T;GANDUM BIJI (Pakan);ton;1.111;GANDUM BIJI (Pakan)/ton
T;GANDUM PELLET;ton;1.111;GANDUM PELLET/ton
T;GARLIC POWDER;carton;1.111;GARLIC POWDER/carton
T;GARLIC POWDER;kemasan;1.111;GARLIC POWDER/kemasan
T;GARLIC POWDER;kilogram per second;1.111;GARLIC POWDER/kilogram per second
T;GARLIC POWDER;ton;1.111;GARLIC POWDER/ton
T;GENITRI;gram;1.111;GENITRI/gram
T;GETAH DAMAR;gram;1.111;GETAH DAMAR/gram
T;GETAH DAMAR;ton;1.111;GETAH DAMAR/ton
T;Getah Perca;ton;1.111;Getah Perca/ton
T;GETAH PINUS;gram;1.111;GETAH PINUS/gram
T;GINSENG KOREA;gram;1.111;GINSENG KOREA/gram
T;GINSENG KOREA;kemasan;1.111;GINSENG KOREA/kemasan
T;Gluten Jagung;gram;1.111;Gluten Jagung/gram
T;Gluten Jagung;metre per second;1.111;Gluten Jagung/metre per second
T;GUARANA SEEDS;gram;1.111;GUARANA SEEDS/gram
T;Gula Kelapa;gram;1.111;Gula Kelapa/gram
T;GULA MERAH;gram;1.111;GULA MERAH/gram
T;GULA MERAH;ton;1.111;GULA MERAH/ton
T;GULA PASIR;bulk;1.111;GULA PASIR/bulk
T;GULA PASIR;ton;1.111;GULA PASIR/ton
T;GULA TEBU;bulk;1.111;GULA TEBU/bulk
T;GULA TEBU;ton;1.111;GULA TEBU/ton
T;HERBARIUM;gram;1.111;HERBARIUM/gram
T;HOP;meter kubik;1.111;HOP/meter kubik
T;HOP;net kilogram;1.111;HOP/net kilogram
T;HOP;ton;1.111;HOP/ton
T;HYDROGENATE PALM KERNEL OLEIN;ton;1.111;HYDROGENATE PALM KERNEL OLEIN/ton
T;IJUK;buah/butir/batang;1.111;IJUK/buah/butir/batang
T;IJUK;gram;1.111;IJUK/gram
T;IJUK LONTAR;bale;1.111;IJUK LONTAR/bale
T;ILES-ILES;gram;1.111;ILES-ILES/gram
T;Inti Kelapa Sawit;gram;1.111;Inti Kelapa Sawit/gram
T;Inti Kelapa Sawit;kilogram;1.111;Inti Kelapa Sawit/kilogram
T;JAGUNG;bag;1.111;JAGUNG/bag
T;JAGUNG;kemasan;1.111;JAGUNG/kemasan
T;JAGUNG;meter kubik;1.111;JAGUNG/meter kubik
T;JAGUNG;ton;1.111;JAGUNG/ton
T;JAGUNG BEKU;ton;1.111;JAGUNG BEKU/ton
T;JAGUNG BIJI;bag;1.111;JAGUNG BIJI/bag
T;JAGUNG BIJI;ton;1.111;JAGUNG BIJI/ton
T;JAGUNG PATI;ton;1.111;JAGUNG PATI/ton
T;JAHE;bag;1.111;JAHE/bag
T;JAHE;carton;1.111;JAHE/carton
T;JAHE;gram;1.111;JAHE/gram
T;JAHE;kemasan;1.111;JAHE/kemasan
T;JAHE;kilogram per second;1.111;JAHE/kilogram per second
T;JAHE;ton;1.111;JAHE/ton
T;JAMU TRADISIONIL;box;1.111;JAMU TRADISIONIL/box
T;JAMUR;carton;1.111;JAMUR/carton
T;JAMUR;kilogram per second;1.111;JAMUR/kilogram per second
T;JAMUR;ton;1.111;JAMUR/ton
T;JAMUR CINA;carton;1.111;JAMUR CINA/carton
T;JAMUR CINA;ton;1.111;JAMUR CINA/ton
T;JAMUR KERING;ton;1.111;JAMUR KERING/ton
T;JAMUR KUPING;carton;1.111;JAMUR KUPING/carton
T;JAMUR KUPING;ton;1.111;JAMUR KUPING/ton
T;JAMUR MERANG;kilogram;1.111;JAMUR MERANG/kilogram
T;JAMUR PUTIH;carton;1.111;JAMUR PUTIH/carton
T;JAVA FERN-REAL FORM;ekor;1.111;JAVA FERN-REAL FORM/ekor
T;JELUTUNG;ton;1.111;JELUTUNG/ton
T;JENETRI;gram;1.111;JENETRI/gram
T;JENGKOL;gram;1.111;JENGKOL/gram
T;JERNANG;ton;1.111;JERNANG/ton
T;JINTAN;bag;1.111;JINTAN/bag
T;JINTAN;gram;1.111;JINTAN/gram
T;JINTAN;ton;1.111;JINTAN/ton
T;JUTE;bag;1.111;JUTE/bag
T;JUTE;bale;1.111;JUTE/bale
T;JUTE;kilogram per second;1.111;JUTE/kilogram per second
T;JUTE;ton;1.111;JUTE/ton
T;KACANG ADAS;ton;1.111;KACANG ADAS/ton
T;KACANG BABI;ton;1.111;KACANG BABI/ton
T;KACANG COKLAT;ton;1.111;KACANG COKLAT/ton
T;KACANG DHAL;kilogram;1.111;KACANG DHAL/kilogram
T;KACANG DHAL;ton;1.111;KACANG DHAL/ton
T;KACANG HAZEL;kilogram;1.111;KACANG HAZEL/kilogram
T;KACANG HIJAU;bag;1.111;KACANG HIJAU/bag
T;KACANG HIJAU;gram;1.111;KACANG HIJAU/gram
T;KACANG HIJAU;kemasan;1.111;KACANG HIJAU/kemasan
T;KACANG HIJAU;kilogram per second;1.111;KACANG HIJAU/kilogram per second
T;KACANG HIJAU;ton;1.111;KACANG HIJAU/ton
T;KACANG HITAM;kilogram per second;1.111;KACANG HITAM/kilogram per second
T;KACANG HITAM;ton;1.111;KACANG HITAM/ton
T;KACANG INDIA;bag;1.111;KACANG INDIA/bag
T;KACANG INDIA;carton;1.111;KACANG INDIA/carton
T;KACANG INDIA;kilogram;1.111;KACANG INDIA/kilogram
T;KACANG INDIA;ton;1.111;KACANG INDIA/ton
T;KACANG KAPRI;carton;1.111;KACANG KAPRI/carton
T;KACANG KAPRI;ton;1.111;KACANG KAPRI/ton
T;KACANG KARA;bag;1.111;KACANG KARA/bag
T;KACANG KAROB;botol;1.111;KACANG KAROB/botol
T;KACANG KAROB;gram;1.111;KACANG KAROB/gram
T;KACANG KEDELAI;bag;1.111;KACANG KEDELAI/bag
T;KACANG KEDELAI;pound;1.111;KACANG KEDELAI/pound
T;KACANG KEDELAI;tank, rectangular;1.111;KACANG KEDELAI/tank, rectangular
T;KACANG KEDELAI;ton;1.111;KACANG KEDELAI/ton
T;KACANG KUNING;kilogram;1.111;KACANG KUNING/kilogram
T;KACANG KUNING;ton;1.111;KACANG KUNING/ton
